onetsoc_code,cip_code,match_strength,qualifier,note
11-9013.00,52.0299,0.87,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9013.00,52.1401,0.84,,"seeded from ""Marketing"""
11-9021.00,15.0201,0.72,,"seeded from ""Civil Engineering Technology"""
11-9021.00,15.0613,0.62,"Advanced Manufacturing Operations Major, B.S.","seeded from ""Advanced Manufacturing Operations""; CIP shared"
11-9021.00,52.2001,0.98,,"seeded from ""Construction Project Management"""
11-9031.00,13.1001,0.70,,"seeded from ""Special Education"""
11-9031.00,13.1210,0.98,,"seeded from ""Early Childhood Education"""
11-9031.00,42.2703,0.82,,"seeded from ""Human Development and Family Studies"""
11-9032.00,13.1001,0.87,,"seeded from ""Special Education"""
11-9032.00,13.1210,0.98,,"seeded from ""Early Childhood Education"""
11-9032.00,13.1302,0.92,,"seeded from ""Art Education"""
11-9032.00,13.1312,0.87,,"seeded from ""Music Education"""
11-9032.00,13.1314,0.87,,"seeded from ""K-12 Physical Education"""
11-9033.00,13.1001,0.91,,"seeded from ""Special Education"""
11-9033.00,13.1210,0.98,,"seeded from ""Early Childhood Education"""
11-9033.00,13.1302,0.98,,"seeded from ""Art Education"""
11-9033.00,13.1312,0.91,,"seeded from ""Music Education"""
11-9033.00,13.1314,0.91,,"seeded from ""K-12 Physical Education"""
11-9039.00,13.1001,0.91,,"seeded from ""Special Education"""
11-9039.00,13.1210,0.98,,"seeded from ""Early Childhood Education"""
11-9039.00,13.1302,0.98,,"seeded from ""Art Education"""
11-9039.00,13.1312,0.91,,"seeded from ""Music Education"""
11-9039.00,13.1314,0.91,,"seeded from ""K-12 Physical Education"""
11-9041.00,14.0901,0.98,,"seeded from ""Computer Engineering"""
11-9041.00,14.1001,0.98,,"seeded from ""Electrical Engineering"""
11-9041.00,14.1401,0.98,,"seeded from ""Environmental Engineering"""
11-9041.00,15.0201,0.98,,"seeded from ""Civil Engineering Technology"""
11-9041.00,15.0805,0.98,,"seeded from ""Mechanical Engineering Technology"""
11-9041.00,40.0601,0.78,,"seeded from ""Applied Geology"""
11-9041.01,03.0104,0.89,,"seeded from ""Environmental Science"""
11-9041.01,26.0101,0.89,,"seeded from ""Biology"""
11-9041.01,26.0202,0.89,,"seeded from ""Biochemistry"""
11-9041.01,30.7001,0.89,,"seeded from ""Data Science and Machine Learning"""
11-9041.01,40.0501,0.89,,"seeded from ""Chemistry"""
11-9041.01,40.0601,0.89,,"seeded from ""Applied Geology"""
11-9051.00,52.0201,0.96,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9051.00,52.0201,0.96,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9051.00,52.0299,0.79,"Brewery Operations Major, B.S.","seeded from ""Brewery Operations""; CIP shared"
11-9051.00,52.0901,0.98,,"seeded from ""Hospitality Leadership"""
11-9071.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9071.00,52.0201,0.91,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9071.00,52.0299,0.91,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9072.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9072.00,52.0201,0.91,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9072.00,52.0299,0.91,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9081.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9081.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9081.00,52.0901,0.80,,"seeded from ""Hospitality Leadership"""
11-9081.00,52.0904,0.80,,"seeded from ""Hotel Management"""
11-9111.00,51.0701,0.84,"Aging Services Leadership Major, B.S.","seeded from ""Aging Services Leadership""; CIP shared"
11-9111.00,51.0701,0.98,"Health Care Management Major, B.S.","seeded from ""Health Care Management""; CIP shared"
11-9111.00,51.2201,0.96,,"seeded from ""Public Health"""
11-9111.00,51.2706,0.85,,"seeded from ""Health Care Information Systems Major"""
11-9111.00,51.3399,0.89,,"resolved from ""Integrative Health Care"""
11-9121.00,03.0104,0.98,,"seeded from ""Environmental Science"""
11-9121.00,27.0101,0.79,,"seeded from ""Mathematics"""
11-9121.00,27.0501,0.79,,"seeded from ""Statistical Science"""
11-9121.01,26.0101,0.90,,"seeded from ""Biology"""
11-9121.01,26.0202,0.90,,"seeded from ""Biochemistry"""
11-9121.01,40.0501,0.90,,"seeded from ""Chemistry"""
11-9121.02,14.1401,0.94,,"seeded from ""Environmental Engineering"""
11-9121.02,40.0601,0.72,,"seeded from ""Applied Geology"""
11-9121.02,50.0404,0.94,,"seeded from ""Industrial Design"""
11-9131.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9131.00,52.0201,0.83,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9131.00,52.0301,0.68,,"seeded from ""Accounting"""
11-9141.00,52.0201,0.77,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9141.00,52.0201,0.77,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9141.00,52.1501,0.98,,"seeded from ""Real Estate"""
11-9151.00,42.2799,0.78,,"seeded from ""Psychology Major"""
11-9151.00,44.0000,0.82,,"seeded from ""Human Services"""
11-9151.00,44.0701,0.98,,"seeded from ""Social Work"""
11-9161.00,43.0104,0.68,,"seeded from ""Criminal Justice and Criminology"""
11-9161.00,43.0202,0.96,,"seeded from ""Fire and Emergency Response Administration"""
11-9161.00,51.2201,0.70,,"seeded from ""Public Health"""
11-9171.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9171.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9171.00,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9179.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9179.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9179.00,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9179.01,31.0505,0.76,,"seeded from ""Exercise Science"""
11-9179.01,51.2201,0.98,,"seeded from ""Public Health"""
11-9179.01,51.3399,0.86,,"resolved from ""Integrative Health Care"""
11-9179.02,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9179.02,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9179.02,52.0299,0.87,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9179.02,52.0801,0.80,,"seeded from ""Finance"""
11-9199.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9199.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9199.00,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9199.01,10.0105,0.89,,"seeded from ""Video Production"""
11-9199.01,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9199.01,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9199.01,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-9199.02,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-9199.02,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-9199.02,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
