Program OID,Program Name,Program Type,Degree Type,Description snippet
"13792","Secondary Education Post-Baccalaureate Licensure - English","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td>Department of Secondary, K-12 and Educational Technology&nbsp;</td> </tr> <tr> <td>School of Education&nbsp;</td>"
"13793","Secondary Education Post-Baccalaureate Licensure - Mathematics","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td>Department of Secondary, K-12 and Educational Technology&nbsp;</td> </tr> <tr> <td>School of Education&nbsp;</td>"
"13794","Secondary Education Post-Baccalaureate Licensure - Science","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td>Department of Secondary, K-12 and Educational Technology&nbsp;</td> </tr> <tr> <td>School of Education&nbsp;</td>"
"13795","Secondary Education Post-Baccalaureate Licensure - Social Studies","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td>Department of Secondary, K-12 and Educational Technology&nbsp;</td> </tr> <tr> <td>School of Education&nbsp;</td>"
"13796","English Major, B.A. with Secondary English Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of English&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <td>&nbsp;</td> <td "
"13797","Mathematics Major with Secondary Mathematics Licensure","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<p>The Department of Mathematics and Statistics offers a major in Mathematical Sciences with a concentration in Mathematics Education. The goals of this program are to provide degree-seeking candidate"
"13798","Chemistry Major, B.A. with Secondary Science Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Chemistry and Biochemistry&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <"
"13799","Africana Studies Major, B.A. with Secondary Social Studies Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Africana Studies&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <td>&nbsp;<"
"13800","Chicano Studies Major, B.A. with Secondary Social Studies Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Chicana and Chicano Studies&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> "
"13801","Economics Major, B.A. with Secondary Social Studies Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Economics&nbsp;</p> <p>College of Business&nbsp;</p> </td> <td>&nbsp;</td> <td style=""text-alig"
"13802","Political Science Major, B.A. with Secondary Social Studies Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Political Science&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <td>&nbsp;"
"13811","Spanish Culturally and Linguistically Diverse (CLD) Bilingual Education Specialist K-12 Added Endorsement Program","Added Endorsement Programs","Teacher Licensure Programs","<p>The Culturally &amp; Linguistically Diverse (CLD) Bilingual Education Specialist K-12&nbsp;Endorsement is an additional credential that all licensed educators in the state of Colorado can add to th"
"13831","History Major, B.A. with Secondary Social Studies Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of History&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <td>&nbsp;</td> <td "
"13846","Special Education Undergraduate Added Endorsement Program","Added Endorsement Programs","Teacher Licensure Programs","<p>The Special Education Added Endorsement program prepares students to become highly effective and culturally responsive teachers of students with disabilities in K-12 settings. This Special Educatio"
"13850","American Chemical Society Post-Baccalaureate Bridge Program (ACS-BP)","Certificates","Certificates of Completion","<div>The American Chemical Society Post-Baccalaureate Bridge Program (ACS-BP) is a credentialed post-baccalaureate bridge experience inspired by the&nbsp;structure of the&nbsp;<a href=""https://www.acs"
"13851","Chemical Industry, National, and Government Laboratory Post-Baccalaureate Bridge Program (ING-BP)","Certificates","Certificates of Completion","<div style=""text-align:justify""><strong>Background:</strong></div> <div>The Industry, National, and Government Laboratory Post-Baccalaureate Bridge Program (ING-BP) is a credentialed bridge experience"
"13674","Career and Personal Development Courses","Special Academic Programs","Special Programs","<p>The Gender Institute for Teaching and Advocacy (GITA)&nbsp;offers&nbsp;Career and Personal Development (CPD) classes every semester that&nbsp;focus on skill development and practical knowledge that"
"13816","State-Guaranteed General Education Courses","Requirements","Requirements","<p>The Colorado Commission on Higher Education has approved the following courses for inclusion in the Guaranteed Transfer (GT) Pathways program in the listed categories. For transferring students, su"
